"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Discretizing Numerical Attributes in Decision Tree for Big Data Analysis","Y. Zhang; Y. M. Cheung","Dept. of Comput. Sci., Hong Kong Baptist Univ., Hong Kong, China","2014 IEEE International Conference on Data Mining Workshop","20150129","2014","","","1150","1157","The decision tree induction learning is a typical machine learning approach which has been extensively applied for data mining and knowledge discovery. For numerical data and mixed data, discretization is an essential pre-processing step of decision tree learning. However, when coping with big data, most of the existing discretization approaches will not be quite efficient from the practical viewpoint. Accordingly, we propose a new discretization method based on windowing and hierarchical clustering to improve the performance of conventional decision tree for big data analysis. The proposed method not only provides a faster process of discretizing numerical attributes with the competent classification accuracy, but also reduces the size of the decision tree. Experiments show the efficacy of the proposed method on the real data sets.","2375-9232;23759232","Electronic:978-1-4799-4274-9; POD:978-1-4799-4273-2","10.1109/ICDMW.2014.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7022725","Big Data;Discretization;Hierarchical Clustering;Noise;Numerical Attribute;Window","Big data;Data mining;Decision trees;Market research;Noise;Noise measurement","Big Data;data mining;decision trees;learning (artificial intelligence);pattern clustering","big data analysis;data mining;decision tree;discretization method;hierarchical clustering;induction learning;knowledge discovery;machine learning;numerical attribute;windowing method","","0","","16","","","","14-14 Dec. 2014","","IEEE","IEEE Conferences"
"A Big Data Analytics Framework for Supporting Multidimensional Mining over Big Healthcare Data","M. Bochicchio; A. Cuzzocrea; L. Vaira","DIE Dept., Univ. of Salento, Lecce, Italy","2016 15th IEEE International Conference on Machine Learning and Applications (ICMLA)","20170202","2016","","","508","513","Nowadays, a great deal of attention is being devoted to big data analytics in complex healthcare environments. Fetal growth curves, which are a classical case of big healthcare data, are used in prenatal medicine to early detect potential fetal growth problems, estimate the perinatal outcome and promptly treat possible complications. However, the currently adopted curves and the related diagnostic techniques have been criticized because of their poor precision. New techniques, based on the idea of customized growth curves, have been proposed in literature. In this perspective, the problem of building customized or personalized fetal growth curves by means of big data techniques is discussed in this paper. The proposed framework introduces the idea of summarizing the massive amounts of (input) big data via multidimensional views on top of which well-known Data Mining methods like clustering and classification are applied. This overall defines a multidimensional mining approach, targeted to complex healthcare environments. A preliminary analysis on the effectiveness of the framework is also proposed.","","Electronic:978-1-5090-6167-9; POD:978-1-5090-6168-6","10.1109/ICMLA.2016.0090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7838194","Mining Big Data; Big Healthcare Data; Healthcare Systems","Big data;Clustering algorithms;Data mining;Machine learning algorithms;Medical diagnostic imaging;Medical services;Production","Big Data;data mining;health care;medical information systems;obstetrics;pattern classification;pattern clustering","Big Data analytics framework;Big healthcare Data;complex healthcare environments;data classification;fetal growth curves;multidimensional mining;multidimensional views;pattern clustering;prenatal medicine","","","","","","","","18-20 Dec. 2016","","IEEE","IEEE Conferences"
"Understanding the behavior of in-memory computing workloads","T. Jiang; Q. Zhang; R. Hou; L. Chai; S. A. Mckee; Z. Jia; N. Sun","SKL Computer Architecture, ICT, CAS, Beijing, China","2014 IEEE International Symposium on Workload Characterization (IISWC)","20141215","2014","","","22","30","The increasing demands of big data applications have led researchers and practitioners to turn to in-memory computing to speed processing. For instance, the Apache Spark framework stores intermediate results in memory to deliver good performance on iterative machine learning and interactive data analysis tasks. To the best of our knowledge, though, little work has been done to understand Spark's architectural and microarchitectural behaviors. Furthermore, although conventional commodity processors have been well optimized for traditional desktops and HPC, their effectiveness for Spark workloads remains to be studied. To shed some light on the effectiveness of conventional generalpurpose processors on Spark workloads, we study their behavior in comparison to those of Hadoop, CloudSuite, SPEC CPU2006, TPC-C, and DesktopCloud. We evaluate the benchmarks on a 17-node Xeon cluster. Our performance results reveal that Spark workloads have significantly different characteristics from Hadoop and traditional HPC benchmarks. At the system level, Spark workloads have good memory bandwidth utilization (up to 50%), stable memory accesses, and high disk IO request frequency (200 per second). At the microarchitectural level, the cache and TLB are effective for Spark workloads, but the L2 cache miss rate is high. We hope this work yields insights for chip and datacenter system designers.","","Electronic:978-1-4799-6454-3; POD:978-1-4799-6455-0; USB:978-1-4799-6453-6","10.1109/IISWC.2014.6983036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6983036","","Bandwidth;Benchmark testing;Big data;Hardware;Microarchitecture;Program processors;Sparks","Big Data;parallel processing;storage management","17-node Xeon cluster;Apache Spark framework;HPC benchmark;Hadoop;big data application;in-memory computing workload;interactive data analysis;iterative machine learning;memory access;memory bandwidth utilization;microarchitectural behavior","","12","","30","","","","26-28 Oct. 2014","","IEEE","IEEE Conferences"
"Return of experience on the mean-shift clustering for heterogeneous architecture use case","C. Cérin; J. L. Gaudiot; M. Lebbah; F. Yuehgoh","Universit&#x00E9; de Paris 13, LIPN, 99, avenue Jean-Baptiste Cl&#x00E9;ment, 93430 Villetaneuse, France","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","3499","3507","The exponential increment in data size poses new challenges for computer scientists, giving rise to a new set of methodologies under the term Big Data. Many efficient algorithms for machine learning have been proposed, facing up time and memory requirements. Nevertheless, with hardware acceleration, multiple software instructions can be integrated and executed into a single hardware die. Current researches aim at eliminating the burden for the user in using multiple processor types. In this paper we propose our return of experience on a new way of implementing machine learning algorithms on heterogeneous hardware. To explore our vision, we use a parallel Mean-shift algorithm, developed at LIPN as our case study to investigate issues in building efficient Machine Learning libraries for heterogeneous systems. The ultimate goal is to provide a core set of building blocks for Machine Learning programming that could serve either to build new applications on heterogeneous architectures or to control the evolution of the underlying platform. We thus examine the difficulties encountered during the implementation of the algorithm with the aim to discover methodologies for building systems based on heterogeneous hardware. We also discover issues and building blocks for solving concrete machine learning (ML) problems on the Chisel software stack we use for this purpose.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8258339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258339","Constructing Hardware in Scala Embedded Language (Chisel);Field Programmable Gate Array (FPGA);Heterogeneous Architecture;Machine Learning","Algorithm design and analysis;Field programmable gate arrays;Hardware;Machine learning algorithms;Memory management;Software algorithms","Big Data;learning (artificial intelligence);parallel processing;pattern clustering","Big Data;Chisel software stack;Machine Learning libraries;Machine Learning programming;building blocks;computer scientists;concrete machine learning problems;data size;hardware acceleration;heterogeneous architecture;heterogeneous architectures;heterogeneous hardware;heterogeneous systems;mean-shift clustering;memory requirements;multiple processor types;parallel Mean-shift algorithm;software instructions","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"From social media to public health surveillance: Word embedding based clustering method for twitter classification","X. Dai; M. Bikdash; B. Meyer","Department of Computational Science and Engineering, North Carolina A&T State University, Greensboro, USA","SoutheastCon 2017","20170511","2017","","","1","7","Social media provide a low-cost alternative source for public health surveillance and health-related classification plays an important role to identify useful information. In this paper, we summarized the recent classification methods using social media in public health. These methods rely on bag-of-words (BOW) model and have difficulty grasping the semantic meaning of texts. Unlike these methods, we present a word embedding based clustering method. Word embedding is one of the strongest trends in Natural Language Processing (NLP) at this moment. It learns the optimal vectors from surrounding words and the vectors can represent the semantic information of words. A tweet can be represented as a few vectors and divided into clusters of similar words. According to similarity measures of all the clusters, the tweet can then be classified as related or unrelated to a topic (e.g., influenza). Our simulations show a good performance and the best accuracy achieved was 87.1%. Moreover, the proposed method is unsupervised. It does not require labor to label training data and can be readily extended to other classification problems or other diseases.","","Electronic:978-1-5386-1539-3; POD:978-1-5386-1540-9","10.1109/SECON.2017.7925400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7925400","Big data;Clustering Process;Machine learning;Natural Language Processing;Public Health;Similarity Measure;Social Network;Surveillance;Twitter;Unsupervised Classification;Word Embeddings;Word2Vec","Diseases;Natural language processing;Public healthcare;Support vector machines;Surveillance;Twitter","diseases;health care;learning (artificial intelligence);medical computing;natural language processing;pattern classification;pattern clustering;social networking (online);vectors;word processing","BOW model;NLP;Twitter classification;bag-of-words;diseases;health-related classification;natural language processing;optimal vector learning;public health surveillance;social media;text semantic meaning;word clusters;word embedding based clustering method","","","","","","","","March 30 2017-April 2 2017","","IEEE","IEEE Conferences"
"Big social data analytics for public health: Facebook engagement and performance","N. Straton; K. Hansen; R. R. Mukkamala; A. Hussain; T. M. Gronli; H. Langberg; R. Vatrapu","Centre for Business Data Analytics, Dept. of IT Management, Copenhagen Business School, Denmark","2016 IEEE 18th International Conference on e-Health Networking, Applications and Services (Healthcom)","20161121","2016","","","1","6","In recent years, social media has offered new opportunities for interaction and distribution of public health information within and across organisations. In this paper, we analysed data from Facebook walls of 153 public organisations using unsupervised machine learning techniques to understand the characteristics of user engagement and post performance. Our analysis indicates an increasing trend of user engagement on public health posts during recent years. Based on the clustering results, our analysis shows that Photo and Link type posts are most favourable for high and medium user engagement respectively.","","Electronic:978-1-5090-3370-6; POD:978-1-5090-3371-3","10.1109/HealthCom.2016.7749497","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7749497","","Clustering algorithms;Correlation;Diseases;Facebook;Public healthcare","Big Data;data analysis;health care;organisational aspects;pattern clustering;social networking (online);unsupervised learning","Big social data analytics;Facebook engagement;Facebook walls;clustering;link type posts;photo posts;postperformance;public health information distribution;public health information interaction;public health posts;public organisations;social media;unsupervised machine learning techniques;user engagement","","2","","","","","","14-16 Sept. 2016","","IEEE","IEEE Conferences"
"The feasibility of deep learning algorithms integration on a GPU-based ultrasound research scanner","P. Jarosik; M. Lewandowski","Laboratory of Professional Electronics, Institute of Fundamental Technological Research PAS, Warsaw, Poland","2017 IEEE International Ultrasonics Symposium (IUS)","20171102","2017","","","1","4","Ultrasound medical diagnostics is a real-time modality based on a doctor's interpretation of images. So far, automated Computer-Aided Diagnostic tools were not widely applied to ultrasound imaging. The emerging methods in Artificial Intelligence, namely deep learning, gave rise to new applications in medical imaging modalities. The work's objective was to show the feasibility of implementing deep learning algorithms directly on a research scanner with GPU software beamforming. We have implemented and evaluated two deep neural network architectures as part of the signal processing pipeline on the ultrasound research platform USPlatform (us4us Ltd., Poland). The USPlatform is equipped with a GPU cluster, enabling full software-based channel data processing as well as the integration of open source Deep Learning frameworks. The first neural model (S-4-2) is a classical convolutional network for one-class classification of baby body parts. We propose a simple 6-layer network for this task. The model was trained and evaluated on a dataset consisting of 786 ultrasound images of a fetal training phantom. The second model (Gu-net) is a fully convolutional neural network for brachial plexus localisation. The model uses `U-net'-like architecture to compute the overall probability of target detection and the probability mask of possible target locations. The model was trained and evaluated on 5640 ultrasound B-mode frames. Both training and inference were performed on a multi-GPU (Nvidia Titan X) cluster integrated with the platform. As performance metrics we used: accuracy as a percentage of correct answers in classification, dice coefficient for object detection, and mean and std. dev. of a model's response time. The `S-4-2' model achieved 96% classification accuracy and a response time of 3 ms (334 predictions/s). This simple model makes accurate predictions in a short time. The `Gu-net' model achieved a 0.64 dice coefficient for object detection and a 76% target's - resence classification accuracy with a response time of 15 ms (65 predictions/s). The brachial plexus detection task is more challenging and requires more effort to find the right solution. The results show that deep learning methods can be successfully applied to ultrasound image analysis and integrated on a single advanced research platform.","","Electronic:978-1-5386-3383-0; POD:978-1-5386-3384-7; USB:978-1-5386-3382-3","10.1109/ULTSYM.2017.8091750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8091750","","Convolution;Image segmentation;Kernel;Machine learning;Neural networks;Ultrasonic imaging","array signal processing;biomedical ultrasonics;cellular biophysics;graphics processing units;image classification;learning (artificial intelligence);medical image processing;neural nets;object detection;obstetrics;phantoms;physiological models;probability","GPU cluster;GPU software beamforming;GPU-based ultrasound research scanner;Gu-net model;artificial intelligence;automated computer-aided diagnostic tools;baby body parts;brachial plexus detection task;brachial plexus localisation;classical convolutional network;classification accuracy;convolutional neural network;deep learning algorithms integration;deep neural network architectures;fetal training phantom;neural model;object detection;one-class classification;probability mask;software-based channel data processing;ultrasound B-mode frames;ultrasound image analysis;ultrasound imaging;ultrasound medical diagnostics","","","","","","","","6-9 Sept. 2017","","IEEE","IEEE Conferences"
"Anticipation and alert system of congestion and accidents in VANET using Big Data analysis for Intelligent Transportation Systems","H. A. Najada; I. Mahgoub","Florida Atlantic University, 777 Glades Road, Boca Raton, 33431 USA","2016 IEEE Symposium Series on Computational Intelligence (SSCI)","20170213","2016","","","1","8","Vehicular Networks (VN) have a huge potential to increase roadway safety and traffic efficiency. Big Data analysis can be instrumental in realizing this potential and enhancing the Intelligent Transportation Systems (ITSs). We study the causes of road accidents using big real-time accidents data obtained from Florida Department of Transportation (FDOT) - District 4. The ultimate goal is to prevent or at least decrease traffic accidents and congestions. Our approach is based on dividing the roadway into segments, based on the infrastructure availability and the secondary accidents factors. We design a real-time Big Data system that receives online streamed data from vehicles on the road in addition to real-time average speed data from vehicles detectors on the road side to (1) Provide accurate Estimated Time of Arrival (ETA) using a Linear Regression (LR) model (2) Predict accidents and congestions before they happen using Naive Bayes (NB) and Distributed Random Forest (DRF) classifiers (3) Update ETA if an accident or a congestion takes place by predicting accurate clearance time. To make this system fast, accurate, and reliable we have implemented Lambda Architecture (LA) in our framework because of its speed, scalability, and fault tolerance. Furthermore, we have optimized the efficiency, the speed, and the accuracy of the designed model by securely selecting the most relevant and significant set of features required for the analysis.","","Electronic:978-1-5090-4240-1; POD:978-1-5090-4241-8","10.1109/SSCI.2016.7850097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7850097","Big Data;Intelligent Transportation Systems (ITSs);Lambda Architecture (LA);Machine Learning and Data Mining;Traffic Congestions Prediction;Traffic Crashes Prediction;Vehicular Ad-hoc Network (VANET)","Accidents;Big data;Computer architecture;Data models;Real-time systems;Roads;Vehicular ad hoc networks","Bayes methods;Big Data;data analysis;intelligent transportation systems;pattern classification;regression analysis;road accidents;road safety;road traffic;vehicular ad hoc networks","DRF classifiers;ETA;ITSs;LR model;NB;VANET;accident prediction;alert system;big data analysis;congestion prediction;distributed random forest classifiers;estimated time of arrival;fault tolerance;infrastructure availability;intelligent transportation systems;lambda architecture;linear regression model;naive Bayes;real-time Big Data system;road accidents;roadway safety;roadway traffic efficiency;traffic accidents;traffic congestions;vehicular networks","","1","","","","","","6-9 Dec. 2016","","IEEE","IEEE Conferences"
"Sanzu: A data science benchmark","A. Watson; D. S. V. Babu; S. Ray","Faculty of Computer Science, University of New Brunswick, Fredericton, Canada","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","263","272","The volume of data that is generated each day is rising rapidly. There is a need to analyze this data efficiently and produce results quickly. Data science offers a formal methodology for processing and analyzing data. It involves a work-flow with multiple stages, such as, data collection, data wrangling, statistical analysis and machine learning. In this paper, we look at data analytics systems that support the data science work-flow. The variety of current commercial and open-source data analytics systems differ significantly in terms of available features, functionality, and scalability. A benchmark can be used to evaluate the functionality and performance of a system. However, there is no standard benchmark for evaluating or comparing these data systems for doing data science. In this paper, we introduce a data science benchmark, Sanzu, to evaluate systems with data processing and analytics tasks. Our benchmark includes a micro and macro benchmark. The micro benchmark tests basic operations in isolation. It consists of task suites for reading and writing, data wrangling, statistical analysis, machine learning and time series analysis. Each macro workload evaluates an analytics application where a series of analysis or functions are based on a real world application. The macro benchmark focuses on sports and smart grid analytics. We evaluate these tasks on five different popular data science frameworks and systems: R, Anaconda Python, Dask, PostgreSQL (MADlib) and PySpark. For micro benchmark we generate synthetic datasets with 3 scale factors: 1, 10 and 100 (scale factor 1=1 million). The macro benchmark uses data generated from real-world data sources.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8257934","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257934","","Benchmark testing;Big Data;Data models;Data science;Databases;Statistical analysis","benchmark testing;data analysis;learning (artificial intelligence);smart power grids;sport;statistical analysis;time series","Anaconda Python;Dask;MADlib;PostgreSQL;PySpark;R system;Sanzu;data collection;data processing;data science benchmark;data science work-flow;data systems;data wrangling;machine learning;macro benchmark;microbenchmark tests basic operations;open-source data analytics systems;real-world data sources;smart grid analytics;sports;statistical analysis;time series analysis","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"A novel density peak based semi-supervised clustering algorithm","W. F. Li; X. T. Li; Y. M. Ye; Y. Li; E. K. Wang","Department of Computer Science, Shenzhen Graduate School, Harbin Institute of Technology, 518055, China","2016 International Conference on Machine Learning and Cybernetics (ICMLC)","20170223","2016","1","","307","310","With the rapid development of technology, acquiring and storing big data from various fields is no longer a problem. Instead, how to utilize the data becomes an important and hot research topic. Clustering is one of the important tasks for big data utility. However, there exists one well-known challenge for the task, i.e. it is difficult to incorporate prior information into the clustering results. In this paper, we proposed a density peak based semi-supervised clustering algorithm, which is able to leverage label information of some seed objects for obtaining a better clustering result. Specifically, we first adopted a density based clustering algorithm to identify density peaks as the possible cluster centers for a dataset, and then proposed a graph-based algorithm to assign each center a class label by utilizing some given seed objects. Finally, we leveraged the label information of seed objects and identified centers to generate must-link and cannot-link constraints for clustering. Extensive experiments have been conducted on various publicly available data sets to verify the effectiveness of the proposed method, and the results showed that the proposed density-peak based semi-supervised algorithm outperforms the existing methods substantially.","","CD:978-1-5090-0388-4; Electronic:978-1-5090-0390-7; POD:978-1-5090-0391-4","10.1109/ICMLC.2016.7860919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7860919","Density peaks algorithm;Dijsktra algorithm;Seed object;Semi-supervised model","Clustering algorithms;Cybernetics;Fires;Heart;Machine learning algorithms;Measurement;Object recognition","Big Data;data mining;graph theory;learning (artificial intelligence);pattern clustering","Big Data utility;density peak;graph based algorithm;seed objects;semisupervised clustering algorithm","","","","","","","","10-13 July 2016","","IEEE","IEEE Conferences"
"Vehicular dataset for road assessment conditions","M. Antunes; D. Gomes; J. P. Barraca; R. L. Aguiar","Instituto de Telecomunica&#x00E7;&#x00F5;es Universidade de Aveiro Aveiro, Portugal","2017 International Smart Cities Conference (ISC2)","20171102","2017","","","1","4","The Internet of Things (IoT) is a very promising concept that by connecting numerous devices to the internet and extracting large sums of information (BigData) can enable the realisation of various futuristic scenarios. In order to develop and assess future applications and services, it is necessary the availability of datasets that can be used to train, test and cross validate. Project SCoT (Smart Cloud of Things) has developed an M2M platform capable of collecting information from heterogeneous devices and collide that information in a large data repository. During its pilot phase, the project made the assessment of the road conditions in the region of Aveiro, Portugal. In this work we make the dataset used on the previous mentioned pilot publicly available. With this dataset our road assessment algorithm reached 80% accuracy in the task of pothole detection, other scenarios (that take into account vehicular speed, position and acceleration) can also be explored. The dataset was not pre-processed in anyway, the only transformation was made to protect the identity of the volunteers.","","Electronic:978-1-5386-2524-8; POD:978-1-5386-2525-5; USB:978-1-5386-2523-1","10.1109/ISC2.2017.8090867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8090867","Dataset;IoT;M2M;Machine Learning","Acceleration;Clustering algorithms;Global Positioning System;Machine-to-machine communications;Monitoring;Roads;Sensors","Internet of Things;cloud computing;road safety;telecommunication computing;telecommunication traffic;vehicular ad hoc networks","Big Data;IoT;M2M platform;Portugal;data repository;heterogeneous devices;pilot phase;pothole detection;project SCoT;road assessment algorithm;road assessment conditions;road conditions;smart Cloud of Things;vehicular dataset;vehicular speed","","","","","","","","14-17 Sept. 2017","","IEEE","IEEE Conferences"
"Optimization of Stacked Unsupervised Extreme Learning Machine to improve classifier performance","D. M. S. Arsa; M. A. Ma'sum; M. F. Rachmadi; W. Jatmiko","Faculty of Computer Science, Universitas Indonesia, Indonesia","2017 International Workshop on Big Data and Information Security (IWBIS)","20180201","2017","","","63","68","In the era of Big Data, data size and data security are issues that need to be solved. To address this problem, we may apply data compression technique or data encryption. On the other hand, the coding based method may be other solution. The coding based method may learn data distribution and reduce data dimension with minimized the loss of information from the original data. Stacked Unsupervised Extreme Learning Machine (Stacked US-ELM) is one of the fastest methods which can be used to address it. The problem is how many stacks we need to get the optimal performance of the classifier. In this research, we inspected the performance of Stacked Unsupervised Extreme Learning Machine (US-ELM) for enhancing classifier performance and proposed a new method. The proposed method is a loop scheme of Stacked US-ELM to optimize the number of stacks of US-ELM. We conducted the experiment using ECG-sleep dataset, synthetic dataset, and Glass dataset. To measure the performance of Stacked US-ELM and the proposed method, we conducted classification according to our data sets using Support Vector Machine (SVM). The 5-Folds Cross Validation is used to evaluate the performance. We compared the result of the classification without US-ELM with the fix Stacked US-ELM and the proposed method. The results showed the proposed method achieved the best performance over Stacked US-ELM in all dataset. The mean of accuracies of the proposed method are 64,39%, 76,24%, 63,22%, and 69, 61% on 4 class ECG-sleep dataset, 3 class ECG-sleep dataset, skewed synthetic dataset, and glass dataset.","","Electronic:978-1-5386-2038-0; POD:978-1-5386-2039-7; USB:978-1-5386-2037-3","10.1109/IWBIS.2017.8275104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8275104","","Big Data;Encoding;Machine learning;Support vector machines;Task analysis;Training;Training data","data compression;pattern classification;pattern clustering;regression analysis;support vector machines;unsupervised learning","Big Data;Stacked US-ELM;Stacked Unsupervised Extreme Learning Machine;coding based method;data compression;data dimension;data distribution;data security;data size","","","","","","","","23-24 Sept. 2017","","IEEE","IEEE Conferences"
"Feature Selection and Improving Classification Performance for Malware Detection","C. Cepeda; D. L. C. Tien; P. Ordóñez","Dept. of Comput. Sci., Kennesaw State Univ., Kennesaw, GA, USA","2016 IEEE International Conferences on Big Data and Cloud Computing (BDCloud), Social Computing and Networking (SocialCom), Sustainable Computing and Communications (SustainCom) (BDCloud-SocialCom-SustainCom)","20161031","2016","","","560","566","After analyzing the advance of technology, it is clear that use of the Internet, computers, smart phones and tablets has become ubiquitous and therefore, the creation and proliferation of cyber threats and attacks has grown exponentially. Consequently, Anti-Virus companies and researchers have developed new approaches for dealing with discovering and classifying malware. Among these, machine learning and Big Data technologies have been used for feature extraction, detection, and clustering of cyber threats. In this paper, we created and analyzed a dataset of malware and clean files (goodware) from the static and dynamic features provided by the online framework VirusTotal. The purpose is to select the smallest number of features that keep the classification accuracy as high as possible given that the training execution time increase in polynomial time with respect to the number of features. In this research, we found that ""9"" features are enough to distinguish malware from ""goodware"" files within an accuracy of 99.60%. Selecting the most representative features for malware detection relies on the possibility of creating an embedded program that monitors the processes executed by the OS looking for the characteristics that match malware behavior. Thus, feature selection was made taking the most important features that keep the accuracy high and allows the creation of monitoring malware detection programs with a low overhead cost. In addition, classification algorithms such as Random Forest (RF), Support Vector Machine (SVM) and Neural Networks (NN) were used in a novel combination that not only showed an increase in accuracy, but also in the training speed from hours to just minutes.","","","10.1109/BDCloud-SocialCom-SustainCom.2016.87","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7723741","Big Data Analytics;Feature selection;Machine Learning;Malware detection;Neural Networks;Random Forest;Support Vector Machine;improving accuracy","Big data;Cloud computing;Conferences;Social computing","feature selection;invasive software;learning (artificial intelligence);neural nets;pattern classification;support vector machines","Big Data technologies;NN;RF;SVM;VirusTotal framework;classification performance;cyber attacks;cyber threats;feature clustering;feature detection;feature extraction;feature selection;machine learning;malware classification;malware detection;malware discovery;neural networks;random forest;support vector machine","","","","","","","","8-10 Oct. 2016","","IEEE","IEEE Conferences"
"A collaborative filtering based approach to performance prediction for parallel applications","Q. Shao; L. Pan; S. Liu; X. Liu","School of Computer Science and Technology, Shandong University Jinan 250101, China","2017 IEEE 21st International Conference on Computer Supported Cooperative Work in Design (CSCWD)","20171016","2017","","","331","336","Parallel application jobs account for a large population in current domain of cloud computing and Big Data processing services, whose execution time can be varied greatly with different runtime configurations. For efficiently scheduling resources and services to run parallel jobs, the ability to quickly and accurately estimate the performance of parallel applications is critical. Analytic predictive models based on traditional modeling techniques such as queuing systems are difficult to construct for parallel applications, due to the high complexity lying in the structures of parallel application models. Furthermore, due to the heterogeneity of resources computing capacities with a scalable computing environment such as a cloud computing platform, performance analytic and prediction becomes increasingly difficult for parallel applications. To address this problem, in this paper we propose a collaborative filtering based approach to quickly and accurately predict the execution time of parallel applications running in heterogenous resources. Particularly, we use the widely used Apache Spark platform as the running framework for parallel applications, and propose a bounds-based performance model to improve the prediction accuracy. Through extensive simulations and experiments on real Spark clusters and two large-scale machine learning applications as well as the simple but classic WordCount sample application, we show that the proposed Collaborative Filtering based approach and bounds-based performance model can accurately estimate the performance of parallel applications.","","Electronic:978-1-5090-6199-0; POD:978-1-5090-6200-3; USB:978-1-5090-6198-3","10.1109/CSCWD.2017.8066716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8066716","Big Data;Spark;collaborative filtering;parallel application;performance prediction","Cloud computing;Collaboration;Computational modeling;Predictive models;Sparks;Time factors","Big Data;cloud computing;collaborative filtering;learning (artificial intelligence);parallel programming;resource allocation","Apache Spark platform;Big Data processing services;cloud computing;collaborative filtering based approach;large-scale machine learning applications;parallel application jobs;performance model","","","","","","","","26-28 April 2017","","IEEE","IEEE Conferences"
"Power Efficient MapReduce Workload Acceleration Using Integrated-GPU","S. Kim; J. Bottleson; J. Jin; P. Bindu; S. C. Sakhare; J. S. Spisak","Intel Corp., Folsom, CA, USA","2015 IEEE First International Conference on Big Data Computing Service and Applications","20150813","2015","","","162","169","With the pervasiveness of MapReduce - one of the most prominent programming models for data parallelism in Apache Hadoop-, many researchers and developers have spent tremendous effort attempting to boost the computational speed and energy efficiency of MapReduce-based big data processing. However, the scalable and fault-tolerant nature of MapReduce introduces additional costs in disk IO and data transfer, caused by streaming intermediate outputs to disk. In light of these issues, many interesting research projects have been initiated with the goal of improving the compute speed and power efficiency of compute-intensive cloud computing workloads, several with the addition of discrete GPUs. In this work, we present a modified MapReduce approach focused on the iterative clustering algorithms in the Apache Mahout machine learning library that leverage the acceleration potential of the Intel integrated GPU in a multi-node cluster environment. The accelerated framework shows varying levels of speed-up (≈45x for Map tasks-only, ≈4.37x for the entire K-means clustering) as evaluated using the HiBench benchmark suite. Based on various experiments and in-depth analysis, we find that utilizing the integrated GPU via OpenCL offers significant performance and power efficiency gains over the original CPU based approach. Further analysis is also done to understand the correlations between compute, IO and power efficiency. As such, our results show that embracing the integrated GPU in the Hadoop MapReduce framework represents a promising advance in adding cost and energy efficient compute parallelism to a data parallel multinode environment.","","Electronic:978-1-4799-8128-1; POD:978-1-4799-8129-8","10.1109/BigDataService.2015.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7184877","Big Data;GPGPU;Hadoop;Integrated Graphics;Machine Learning;Mahout;OpenCL","Acceleration;Graphics processing units;Java;Kernel;Optimization;Performance gain;Power demand","Big Data;graphics processing units;learning (artificial intelligence);parallel processing;pattern clustering;power aware computing","Apache Hadoop;Apache Mahout machine learning library;Hadoop MapReduce framework;HiBench benchmark suite;Intel integrated GPU;MapReduce-based big data processing;OpenCL;acceleration potential;computational speed;data parallel multinode environment;data parallelism;data transfer;discrete GPU;disk IO;energy efficiency;energy efficient compute parallelism;fault-tolerant nature;iterative clustering algorithms;multinode cluster environment;power efficient MapReduce workload acceleration;programming models","","0","","33","","","","March 30 2015-April 2 2015","","IEEE","IEEE Conferences"
